Open,High,Low,Close,Volume
235.89822387695312,272.3988342285156,235.89627075195312,265.4061279296875,24545049386
265.0527038574219,273.7410583496094,258.9225158691406,268.0992431640625,25801317504
268.0232849121094,285.0564270019531,262.76251220703125,284.2174987792969,23558253463
284.5613098144531,287.1236877441406,264.2796630859375,264.72857666015625,23682452994
264.904052734375,272.8824462890625,242.48440551757812,259.89471435546875,25152366643
259.89056396484375,266.8712463378906,244.3353271484375,266.3634338378906,26024080089
266.5088195800781,283.1961364746094,261.4638977050781,281.944580078125,26511477187
282.0362854003906,283.5379333496094,259.76397705078125,259.76397705078125,22679414413
259.8198547363281,263.6954040527344,250.95126342773438,257.949462890625,23229828870
257.89111328125,267.0048522949219,255.6890869140625,265.6006164550781,20867593292
265.55157470703125,266.38720703125,258.91314697265625,262.33172607421875,16906032862
262.2784118652344,273.754150390625,261.96051025390625,273.754150390625,19585998814
273.705078125,275.5395202636719,259.6251525878906,265.2164306640625,22400845640
265.28338623046875,265.4314880371094,246.85899353027344,247.81759643554688,21878882134
247.74020385742188,249.6497039794922,221.2665557861328,225.68026733398438,26235617201
225.68704223632812,237.2289276123047,212.66452026367188,226.75338745117188,25645522790
226.98760986328125,234.2089385986328,216.34620666503906,226.760498046875,22563530559
226.8334503173828,232.25662231445312,219.8485107421875,219.8485107421875,18181296376
219.752685546875,226.67788696289062,214.13043212890625,218.97059631347656,18179807469
218.7116241455078,232.81158447265625,217.28428649902344,230.5697784423828,20305587789
230.5239715576172,232.3258056640625,221.732666015625,224.47962951660156,19853178572
224.56533813476562,228.04042053222656,222.08888244628906,224.51797485351562,16567075208
224.6418914794922,234.3644561767578,224.6418914794922,229.2681884765625,18201291785
229.16842651367188,243.5549774169922,228.7435760498047,243.52529907226562,19374772256
243.7501983642578,249.97848510742188,237.55128479003906,237.85308837890625,19431652027
237.7806854248047,237.7806854248047,200.6029815673828,200.68905639648438,21381823651
201.31849670410156,207.45140075683594,192.2698974609375,201.986328125,23645428606
202.86395263671875,205.71424865722656,198.0644989013672,200.76724243164062,18344930072
200.76803588867188,202.9542999267578,184.36215209960938,194.8685302734375,16984790291
194.73892211914062,195.14793395996094,111.21070861816406,112.34712219238281,22134741655
112.68999481201172,137.42953491210938,95.1843032836914,133.20181274414062,27864623061
133.5824737548828,134.484375,122.41447448730469,123.30602264404297,12740784545
123.24606323242188,132.2421417236328,121.85365295410156,125.21430206298828,12719251813
124.9961166381836,124.9961166381836,105.17144012451172,110.60587310791016,15984904590
